combination.num_epoches,combination.lr,combination.batch_size,combination.optimizer,combination.in_net,combination.in_net_init_identity,combination.out_net,combination.out_net_init_identity,combination.freeze_ln,combination.freeze_pos,combination.freeze_wte,combination.dup_lm_head,combination.dup_lm_head_bias,combination.freeze_ff,combination.freeze_attn,combination.model_save_path,results.intrasentence.gender.Count,results.intrasentence.gender.LM Score,results.intrasentence.gender.SS Score,results.intrasentence.gender.ICAT Score,results.intrasentence.profession.Count,results.intrasentence.profession.LM Score,results.intrasentence.profession.SS Score,results.intrasentence.profession.ICAT Score,results.intrasentence.race.Count,results.intrasentence.race.LM Score,results.intrasentence.race.SS Score,results.intrasentence.race.ICAT Score,results.intrasentence.religion.Count,results.intrasentence.religion.LM Score,results.intrasentence.religion.SS Score,results.intrasentence.religion.ICAT Score,results.intrasentence.overall.Count,results.intrasentence.overall.LM Score,results.intrasentence.overall.SS Score,results.intrasentence.overall.ICAT Score,average.intrasentence.gender.Count,average.intrasentence.gender.LM Score,average.intrasentence.gender.SS Score,average.intrasentence.gender.ICAT Score,average.intrasentence.profession.Count,average.intrasentence.profession.LM Score,average.intrasentence.profession.SS Score,average.intrasentence.profession.ICAT Score,average.intrasentence.race.Count,average.intrasentence.race.LM Score,average.intrasentence.race.SS Score,average.intrasentence.race.ICAT Score,average.intrasentence.religion.Count,average.intrasentence.religion.LM Score,average.intrasentence.religion.SS Score,average.intrasentence.religion.ICAT Score,average.intrasentence.overall.Count,average.intrasentence.overall.LM Score,average.intrasentence.overall.SS Score,average.intrasentence.overall.ICAT Score,std.intrasentence.gender.Count,std.intrasentence.gender.LM Score,std.intrasentence.gender.SS Score,std.intrasentence.gender.ICAT Score,std.intrasentence.profession.Count,std.intrasentence.profession.LM Score,std.intrasentence.profession.SS Score,std.intrasentence.profession.ICAT Score,std.intrasentence.race.Count,std.intrasentence.race.LM Score,std.intrasentence.race.SS Score,std.intrasentence.race.ICAT Score,std.intrasentence.religion.Count,std.intrasentence.religion.LM Score,std.intrasentence.religion.SS Score,std.intrasentence.religion.ICAT Score,std.intrasentence.overall.Count,std.intrasentence.overall.LM Score,std.intrasentence.overall.SS Score,std.intrasentence.overall.ICAT Score,file
2,0.0002,50,adam,False,False,False,False,False,False,False,False,False,False,False,official-matrix-results/unprejudiced_full,"[765.0, 765.0, 765.0, 765.0, 765.0]","[92.8546089176524, 92.86398159006856, 92.48262293262295, 92.82386872386874, 92.42405115013811]","[59.31048597135553, 61.20573886660843, 61.310590697547205, 61.86293094988747, 62.528849089718655]","[75.56417824358226, 72.05179103383175, 71.56196104009312, 70.80060582041527, 69.26471136772776]","[2430.0, 2430.0, 2430.0, 2430.0, 2430.0]","[93.21212693872482, 92.49568270894947, 92.68610384326426, 92.47454635379576, 92.34807416432068]","[61.90923531687687, 60.89219932035439, 62.02502824319457, 61.304073557228634, 63.21645152263694]","[71.0104238567274, 72.34605446218677, 70.39504351392591, 71.56776487070263, 67.93779725628819]","[2886.0, 2886.0, 2886.0, 2886.0, 2886.0]","[89.75688260784456, 89.98797629625933, 90.21249808346617, 90.28013009304858, 89.189499148923]","[60.04910099398541, 62.11036883242717, 60.633801389169676, 59.98458093961551, 59.194704477850536]","[71.7173630432141, 68.19222462763105, 71.02646233465758, 72.25194476998735, 72.78807740488602]","[237.0, 237.0, 237.0, 237.0, 237.0]","[86.64367816091954, 87.97701149425286, 88.64367816091954, 89.3103448275862, 86.64367816091954]","[55.90804597701149, 55.72413793103448, 54.758620689655174, 57.05747126436781, 56.87356321839081]","[76.40578147707755, 77.90516052318668, 80.20724534284581, 76.7042409829568, 74.7326621746598]","[2106.0, 2106.0, 2106.0, 2106.0, 2106.0]","[91.34289500890418, 91.2279554217375, 91.37962417862907, 91.39861766689958, 90.70171823132897]","[60.5047302903085, 61.29074759540755, 61.024676789245376, 60.612263846012624, 61.055849208026416]","[72.15224548881409, 70.6273190554989, 71.23100774478712, 71.99969275006019, 70.6460278378395]",765.0,92.68982666287016,61.24371911502347,71.84864950113004,2430.0,92.64330680181101,61.869397592058284,70.65141679196618,2886.0,89.88539724590832,60.39451132660965,71.19521443607523,237.0,87.84367816091954,56.06436781609195,77.19101810014533,2106.0,91.21016210149988,60.8976535458001,71.33125857539996,0.0,0.19443272012276663,1.0750150737446245,2.0834463000483283,0.0,0.30424437768438595,0.7892870152683841,1.501321747620373,0.0,0.39347722010247693,0.9724519945688145,1.6107734580199857,0.0,1.0666666666666678,0.8350113901422701,1.8168482904409498,0.0,0.26102976526921745,0.2937753118321104,0.6474482216001083,./official-matrix-results\unprejudiced_full.json
6,0.003,50,adam,False,False,False,False,False,True,True,False,False,True,True,official-matrix-results/unprejudiced_ln,"[765.0, 765.0, 765.0, 765.0, 765.0]","[92.34329856938551, 93.5493462254332, 92.44036816645512, 93.13688831297527, 92.71146743755439]","[60.51607185085446, 58.753239514109076, 60.36347855043507, 61.19900260769826, 61.3920980790546]","[72.92152331537423, 77.17214954744254, 73.28029271270755, 72.27608321117704, 71.58790483552046]","[2430.0, 2430.0, 2430.0, 2430.0, 2430.0]","[93.35105117700255, 93.55306229681352, 93.57999326814102, 93.65893073393195, 93.33318093528169]","[60.48651868513469, 60.91549898964418, 61.409458419611205, 61.72505272245061, 62.00383927405578]","[73.77250032811051, 73.12949515723378, 72.22605242613399, 71.69581271825791, 70.92605087761193]","[2886.0, 2886.0, 2886.0, 2886.0, 2886.0]","[90.99303042511613, 91.4813494116813, 91.94090538079261, 91.5555048660586, 90.91454992941244]","[61.57128066149764, 62.61509509936036, 61.84365651206156, 62.005619353529404, 61.0795420576115]","[69.93491255933188, 68.40043095875782, 70.16257532603142, 69.57189404321642, 70.76871833757754]","[237.0, 237.0, 237.0, 237.0, 237.0]","[87.88505747126437, 88.45977011494251, 88.64367816091954, 87.79310344827586, 88.73563218390804]","[61.6551724137931, 61.839080459770116, 56.50574712643678, 60.50574712643678, 54.39080459770114]","[67.39874752279033, 67.51412339807106, 77.10981107147576, 69.34646056282203, 80.94321574844761]","[2106.0, 2106.0, 2106.0, 2106.0, 2106.0]","[91.94137707242918, 92.41510405473534, 92.5013557962035, 92.41157329962846, 91.97773160056416]","[61.02896076098582, 61.451367465654435, 61.2887014418508, 61.74001450451735, 61.21610236556125]","[71.66102027157272, 71.24951773658603, 71.61695202520838, 70.71330908117034, 71.34509854088326]",765.0,92.8362737423607,60.44477812043029,73.44759072444437,2430.0,93.49524368223415,61.3080736181793,72.34998230146962,2886.0,91.37706800261222,61.82303873681209,69.76770624498302,237.0,88.30344827586205,58.97931034482758,72.46247166072135,2106.0,92.24942836471212,61.34502930771392,71.31717953108415,0.0,0.45037403257812664,0.931586276622505,1.949765905368894,0.0,0.1299036165097242,0.54723078243771,1.0101559271587097,0.0,0.3800091431828582,0.5054272442555218,0.7865988658686801,0.0,0.39050698607054435,2.9947097407757086,5.538190349130774,0.0,0.2391324215773352,0.23958940738036436,0.34003150232740803,./official-matrix-results\unprejudiced_ln.json
6,0.003,50,adam,False,False,False,False,False,False,True,False,False,True,True,official-matrix-results/unprejudiced_ln_wpe,"[765.0, 765.0, 765.0, 765.0, 765.0]","[93.21051838660534, 91.61989162206552, 92.34535022143719, 92.6570348331218, 91.72830060438756]","[60.22020732890299, 61.76651512738469, 58.815095049877655, 59.81606332475898, 57.26381299859561]","[74.15790192369273, 70.05895480725792, 76.064689429113, 74.46648840499536, 78.40235615900284]","[2430.0, 2430.0, 2430.0, 2430.0, 2430.0]","[93.67149288587159, 93.35625870627614, 93.81046241816661, 93.82619555619112, 93.98192228048671]","[60.01528658255456, 61.685922334580866, 60.48849865179925, 60.14380566709504, 62.39909769897437]","[74.90855596851709, 71.5371789325045, 74.13184424621451, 74.79110167209396, 70.6761015546233]","[2886.0, 2886.0, 2886.0, 2886.0, 2886.0]","[90.80497705911813, 91.23767039458924, 90.90596856236215, 91.67396581124865, 90.92162224520777]","[62.74769463278972, 61.29690674295052, 61.32550982710916, 62.2795498480277, 62.36597653033252]","[67.65389468537586, 70.6236013167546, 70.31483975644397, 69.15966515233636, 68.4349293095278]","[237.0, 237.0, 237.0, 237.0, 237.0]","[88.55172413793105, 88.06896551724138, 89.12643678160919, 88.45977011494251, 86.55172413793105]","[58.02298850574713, 60.32183908045977, 60.50574712643678, 60.6896551724138, 56.6896551724138]","[74.34273483947682, 69.88829171621087, 70.39964063945038, 69.5476813317479, 74.97170035671819]","[2106.0, 2106.0, 2106.0, 2106.0, 2106.0]","[92.11245970866135, 91.97024947045414, 92.12356396644603, 92.49364929831307, 92.01992718607278]","[61.21071700080175, 61.46705039618825, 60.658753230480954, 61.09629826970481, 61.51715419701772]","[71.45952534783022, 70.87769975790007, 72.48511726583052, 71.96690688496197, 70.82377337406592]",765.0,92.31221913352347,59.576338765903984,74.63007814481236,2430.0,93.72926636939845,60.946522187000824,73.20895647479067,2886.0,91.1088408145052,62.00312751624192,69.23738604408773,237.0,88.15172413793104,59.245977011494254,71.83000977672084,2106.0,92.14396992598947,61.189994618838696,71.52260452611775,0.0,0.5911370933299798,1.4964073312156856,2.7361678131023552,0.0,0.21085329835811853,0.9357379245646948,1.758052211999238,0.0,0.3176490037340644,0.5865769202474019,1.1171321779821324,0.0,0.8685396998407655,1.6036950331285784,2.3327775276500393,0.0,0.18398388973332844,0.30829178679184527,0.6375078794909658,./official-matrix-results\unprejudiced_ln_wpe.json
2,0.0005,50,adam,False,False,False,False,False,False,False,False,False,True,True,official-matrix-results/unprejudiced_ln_wpe_wte,"[765.0, 765.0, 765.0, 765.0, 765.0]","[91.31941062158452, 91.90190220407612, 91.21671701889093, 92.00459580676973, 91.23490253707645]","[64.65544101631058, 65.51624687711646, 63.72537108624065, 64.41042677129634, 64.04769063464717]","[64.55288590140697, 63.38245014257496, 66.17705121183332, 65.48808599684625, 65.60210881861573]","[2430.0, 2430.0, 2430.0, 2430.0, 2430.0]","[91.56599261119996, 91.7662062864136, 91.80450645740059, 91.71951088411477, 91.88024499355578]","[61.105275261016544, 60.84893049892466, 60.73380259787721, 60.71387274093401, 61.292118686133975]","[71.22868156128831, 71.85490240338792, 72.09627745921496, 72.06608753465243, 71.1297923659898]","[2886.0, 2886.0, 2886.0, 2886.0, 2886.0]","[88.9630268943015, 89.10612764731606, 88.93459676050739, 88.98111270479555, 88.8271141958888]","[59.074111111366, 59.29699181708392, 59.58266254383048, 59.99416559661706, 60.32023189288106]","[72.81781907745483, 72.53774885553341, 71.88999217595575, 71.19527319793609, 70.49278585834881]","[237.0, 237.0, 237.0, 237.0, 237.0]","[86.16091954022988, 85.49425287356321, 86.16091954022988, 85.49425287356321, 86.06896551724138]","[55.356321839080465, 56.50574712643678, 55.17241379310345, 56.6896551724138, 54.02298850574713]","[76.93080724005813, 74.37017307438235, 77.24772096710265, 74.05571145461751, 79.14387633769323]","[2106.0, 2106.0, 2106.0, 2106.0, 2106.0]","[90.14336216920744, 90.33301980452201, 90.20798235328965, 90.27131772891732, 90.1865744655843]","[60.41075485468379, 60.56758646244602, 60.376720022226955, 60.70100477134734, 60.92199722267658]","[71.37415326279553, 71.2409798605593, 71.48672282028812, 70.9514416942582, 70.48622414886776]",765.0,91.53550563767955,64.47103527712224,65.04051641425545,2430.0,91.74729224653694,60.93879995697728,71.67514826490667,2886.0,88.96239564056185,59.6536325923557,71.78672383304578,237.0,85.87586206896552,55.54942528735633,76.34965781477078,2106.0,90.22845130430414,60.59561266667613,71.10790435735377,0.0,0.34437697197888,0.6107997917913794,0.9792224654639354,0.0,0.10483224851200669,0.2250514787658681,0.4145456392612282,0.0,0.08953598577724434,0.4535177817362378,0.8557978352657153,0.0,0.3133865413876252,0.9720197022143799,1.9043350007087552,0.0,0.06661067494814744,0.2002529613737264,0.35862733962386456,./official-matrix-results\unprejudiced_ln_wpe_wte.json
2,0.0006,50,adam,True,False,True,False,False,False,False,False,False,True,True,official-matrix-results/unprejudiced_ln_wpe_wte_io,"[765.0, 765.0, 765.0, 765.0, 765.0]","[75.65953016387799, 64.29946695816263, 63.87261844435758, 69.74203067463938, 66.6841317297839]","[58.40154788850441, 53.742563555607035, 54.19880361184708, 58.58003236698888, 57.118313731357205]","[62.94638684600669, 59.48657012451106, 58.50884682391159, 57.77425306408063, 57.19056031866883]","[2430.0, 2430.0, 2430.0, 2430.0, 2430.0]","[75.54757069151103, 69.68214994053679, 66.27323274035582, 71.44058984693588, 68.8106673101736]","[52.335301081816944, 51.31655338600213, 54.15916938213511, 54.33402066649858, 51.51818998941848]","[72.01904422022048, 67.84734453157435, 60.760400730979775, 65.2480899904665, 66.72131398466337]","[2886.0, 2886.0, 2886.0, 2886.0, 2886.0]","[75.43219304237854, 69.83612473400677, 65.83223780724292, 72.31841373774674, 68.01783908860546]","[53.53428346583852, 51.864297809110354, 51.10804975058064, 50.48077891712593, 52.376051881130664]","[70.10021798914619, 67.23221804723944, 64.3733299135933, 71.62303036484477, 64.78556079826699]","[237.0, 237.0, 237.0, 237.0, 237.0]","[69.93103448275862, 63.72413793103448, 59.90804597701149, 64.96551724137932, 65.44827586206897]","[48.87356321839081, 47.54022988505747, 46.39080459770114, 45.05747126436781, 43.72413793103448]","[68.35557669441143, 60.589203329369795, 55.58364909499272, 58.5436385255648, 57.23338882282996]","[2106.0, 2106.0, 2106.0, 2106.0, 2106.0]","[75.29587943491157, 68.84470977234272, 65.52668184362062, 71.37971453718343, 68.05251103011457]","[53.51809374385964, 51.72984364454784, 52.478801549323165, 52.76330884144915, 52.322014158353596]","[69.99792018734414, 66.46289809913416, 62.27812903410116, 67.43483061156913, 64.89213314764577]",765.0,68.0515555941643,56.408252230860924,59.181323435435765,2430.0,70.35084210590261,52.73264690117425,66.5192386915809,2886.0,70.28736168199609,51.87269236475722,67.62287142261813,237.0,64.79540229885058,46.317241379310346,60.06109129343374,2106.0,69.81989932363459,52.562412387506676,66.21318221595888,0.0,4.339366679838017,2.0582324060409887,2.0329332323951763,0.0,3.0867369140560768,1.2835477754521167,3.656025001992161,0.0,3.3405669729697283,1.0522763545373806,2.8601041670327367,0.0,3.2206757077975436,1.8081537552548916,4.459225116427397,0.0,3.3143854347748203,0.5850878622362691,2.573279562029434,./official-matrix-results\unprejudiced_ln_wpe_wte_io.json
